rank,mark,competitor,dob,nat,pos,venue,date,result_score
"
1659                                        ","
                                            13:30.05
                                        ","
        ","
                                            31 AUG 1989
                                        ","
                                            ","
                                            9f1
                                        ","
                                            Stadion De Veen, Heusden-Zolder (BEL)
                                        ","
                                            02 JUL 2022
                                        ","
                                                1102
                                            "
"
1661                                        ","
                                            13:30.07
                                        ","
        ","
                                            14 FEB 1984
                                        ","
                                            ","
                                            10
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            13 APR 2007
                                        ","
                                                1102
                                            "
"
1662                                        ","
                                            13:30.09
                                        ","
        ","
                                            20 JUL 2005
                                        ","
                                            ","
                                            8f3
                                        ","
                                            Egao Kenko Stadium, Kumamoto (JPN)
                                        ","
                                            13 APR 2024
                                        ","
                                                1102
                                            "
"
1663                                        ","
                                            13:30.11
                                        ","
        ","
                                            02 MAY 1968
                                        ","
                                            ","
                                            7
                                        ","
                                            Osaka (JPN)
                                        ","
                                            10 MAY 1997
                                        ","
                                                1102
                                            "
"
1664                                        ","
                                            13:30.12
                                        ","
        ","
                                            19 DEC 1978
                                        ","
                                            ","
                                            6
                                        ","
                                            Shizuoka (JPN)
                                        ","
                                            03 MAY 2000
                                        ","
                                                1102
                                            "
"
1665                                        ","
                                            13:30.13
                                        ","
        ","
                                            14 APR 1987
                                        ","
                                            ","
                                            4f1
                                        ","
                                            Düsseldorf (GER) (i)
                                        ","
                                            13 FEB 2009
                                        ","
                                                1150
                                            "
"
1665                                        ","
                                            13:30.13
                                        ","
        ","
                                            11 DEC 1997
                                        ","
                                            ","
                                            2f1
                                        ","
                                            Nishishina Athletic Stadium, Nobeoka (JPN)
                                        ","
                                            04 MAY 2023
                                        ","
                                                1102
                                            "
"
1667                                        ","
                                            13:30.14
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            1
                                        ","
                                            Barakaldo (ESP)
                                        ","
                                            11 JUL 2008
                                        ","
                                                1102
                                            "
"
1667                                        ","
                                            13:30.14
                                        ","
        ","
                                            03 JAN 1997
                                        ","
                                            ","
                                            14f1
                                        ","
                                            Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)
                                        ","
                                            26 JAN 2024
                                        ","
                                                1150
                                            "
"
1669                                        ","
                                            13:30.16
                                        ","
        ","
                                            31 JUL 2001
                                        ","
                                            ","
                                            5h1
                                        ","
                                            Hornet Stadium - Sac St., Sacramento, CA (USA)
                                        ","
                                            26 MAY 2023
                                        ","
                                                1102
                                            "
"
1670                                        ","
                                            13:30.17
                                        ","
        ","
                                            06 JUL 1989
                                        ","
                                            ","
                                            6
                                        ","
                                            Rabat (MAR)
                                        ","
                                            23 MAY 2009
                                        ","
                                                1101
                                            "
"
1671                                        ","
                                            13:30.20
                                        ","
        ","
                                            11 OCT 1967
                                        ","
                                            ","
                                            3
                                        ","
                                            Shizuoka (JPN)
                                        ","
                                            03 MAY 1987
                                        ","
                                                1101
                                            "
"
1672                                        ","
                                            13:30.22
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            4
                                        ","
                                            London (GBR)
                                        ","
                                            25 JUN 2000
                                        ","
                                                1101
                                            "
"
1672                                        ","
                                            13:30.22
                                        ","
        ","
                                            10 NOV 1986
                                        ","
                                            ","
                                            3
                                        ","
                                            Icahn Stadium, New York, NY (USA)
                                        ","
                                            13 JUN 2015
                                        ","
                                                1101
                                            "
"
1674                                        ","
                                            13:30.23
                                        ","
        ","
                                            04 JAN 1997
                                        ","
                                            ","
                                            15f3
                                        ","
                                            Nishishina Athletic Stadium, Nobeoka (JPN)
                                        ","
                                            04 MAY 2023
                                        ","
                                                1101
                                            "
"
1675                                        ","
                                            13:30.25
                                        ","
        ","
                                            17 NOV 1962
                                        ","
                                            ","
                                            7
                                        ","
                                            Hechtel (BEL)
                                        ","
                                            31 JUL 1993
                                        ","
                                                1101
                                            "
"
1676                                        ","
                                            13:30.26
                                        ","
        ","
                                            17 FEB 1992
                                        ","
                                            ","
                                            6
                                        ","
                                            Puskás Ferenc Stadion, Budapest (HUN)
                                        ","
                                            30 JUL 2011
                                        ","
                                                1101
                                            "
"
1677                                        ","
                                            13:30.27
                                        ","
        ","
                                            06 JUL 1938
                                        ","
                                            ","
                                            4
                                        ","
                                            Helsinki (FIN)
                                        ","
                                            16 SEP 1973
                                        ","
                                                1101
                                            "
"
1677                                        ","
                                            13:30.27
                                        ","
        ","
                                            01 JAN 1985
                                        ","
                                            ","
                                            6f1
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            02 MAY 2009
                                        ","
                                                1101
                                            "
"
1677                                        ","
                                            13:30.27
                                        ","
        ","
                                            25 SEP 1990
                                        ","
                                            ","
                                            6f1
                                        ","
                                            Portland, OR (USA)
                                        ","
                                            12 JUN 2016
                                        ","
                                                1101
                                            "
"
1677                                        ","
                                            13:30.27
                                        ","
        ","
                                            2006
                                        ","
                                            ","
                                            2f1
                                        ","
                                            Atletiekbaan Brakkenstein, Nijmegen (NED)
                                        ","
                                            18 MAY 2024
                                        ","
                                                1101
                                            "
"
1681                                        ","
                                            13:30.29
                                        ","
        ","
                                            13 MAR 1988
                                        ","
                                            ","
                                            7
                                        ","
                                            Icahn Stadium, New York, NY (USA)
                                        ","
                                            30 MAY 2009
                                        ","
                                                1101
                                            "
"
1682                                        ","
                                            13:30.3h
                                        ","
        ","
                                            12 JAN 1955
                                        ","
                                            ","
                                            1
                                        ","
                                            Oslo (NOR)
                                        ","
                                            07 JUN 1978
                                        ","
                                                1101
                                            "
"
1683                                        ","
                                            13:30.30
                                        ","
        ","
                                            16 DEC 1985
                                        ","
                                            ","
                                            1
                                        ","
                                            Cheboksary (RUS)
                                        ","
                                            04 JUL 2012
                                        ","
                                                1101
                                            "
"
1683                                        ","
                                            13:30.3h
                                        ","
        ","
                                            09 JUN 1986
                                        ","
                                            ","
                                            2h3
                                        ","
                                            Nairobi (KEN)
                                        ","
                                            26 MAY 2016
                                        ","
                                                1101
                                            "
"
1685                                        ","
                                            13:30.31
                                        ","
        ","
                                            02 MAR 1971
                                        ","
                                            ","
                                            13
                                        ","
                                            Stadio Olimpico, Roma (ITA)
                                        ","
                                            08 JUN 1994
                                        ","
                                                1101
                                            "
"
1686                                        ","
                                            13:30.32
                                        ","
        ","
                                            14 NOV 1963
                                        ","
                                            ","
                                            3
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            17 APR 1992
                                        ","
                                                1101
                                            "
"
1687                                        ","
                                            13:30.34
                                        ","
        ","
                                            15 OCT 1969
                                        ","
                                            ","
                                            7
                                        ","
                                            Sevilla (ESP)
                                        ","
                                            08 JUN 2002
                                        ","
                                                1101
                                            "
"
1688                                        ","
                                            13:30.35
                                        ","
        ","
                                            07 OCT 1979
                                        ","
                                            ","
                                            2
                                        ","
                                            Stellenbosch (RSA)
                                        ","
                                            30 MAR 2001
                                        ","
                                                1101
                                            "
"
1831                                        ","
                                            13:31.60
                                        ","
        ","
                                            16 MAY 2001
                                        ","
                                            ","
                                            1f4
                                        ","
                                            Nishishina Athletic Stadium, Nobeoka (JPN)
                                        ","
                                            04 MAY 2023
                                        ","
                                                1096
                                            "
"
1832                                        ","
                                            13:31.61
                                        ","
        ","
                                            10 OCT 1971
                                        ","
                                            ","
                                            1
                                        ","
                                            Hengelo (NED)
                                        ","
                                            28 JUN 1992
                                        ","
                                                1096
                                            "
"
1833                                        ","
                                            13:31.62
                                        ","
        ","
                                            24 MAY 1978
                                        ","
                                            ","
                                            9f1
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            04 MAY 2008
                                        ","
                                                1096
                                            "
"
1834                                        ","
                                            13:31.64
                                        ","
        ","
                                            20 DEC 1977
                                        ","
                                            ","
                                            7
                                        ","
                                            Cork (IRL)
                                        ","
                                            05 JUL 2003
                                        ","
                                                1096
                                            "
"
1835                                        ","
                                            13:31.66
                                        ","
        ","
                                            17 MAR 1994
                                        ","
                                            ","
                                            8
                                        ","
                                            Eugene, OR (USA)
                                        ","
                                            10 JUN 2016
                                        ","
                                                1096
                                            "
"
1836                                        ","
                                            13:31.67
                                        ","
        ","
                                            21 JUN 1981
                                        ","
                                            ","
                                            1
                                        ","
                                            Abashiri (JPN)
                                        ","
                                            22 JUN 2003
                                        ","
                                                1096
                                            "
"
1837                                        ","
                                            13:31.68
                                        ","
        ","
                                            01 MAR 1981
                                        ","
                                            ","
                                            3
                                        ","
                                            Lugano (SUI)
                                        ","
                                            12 JUN 2009
                                        ","
                                                1096
                                            "
"
1838                                        ","
                                            13:31.69
                                        ","
        ","
                                            07 APR 1993
                                        ","
                                            ","
                                            7
                                        ","
                                            Eugene, OR (USA)
                                        ","
                                            13 JUN 2014
                                        ","
                                                1096
                                            "
"
1839                                        ","
                                            13:31.7h
                                        ","
        ","
                                            21 AUG 1963
                                        ","
                                            ","
                                            2
                                        ","
                                            Potsdam (GDR)
                                        ","
                                            14 JUN 1987
                                        ","
                                                1096
                                            "
"
1840                                        ","
                                            13:31.70
                                        ","
        ","
                                            03 MAR 1992
                                        ","
                                            ","
                                            17f1
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            28 APR 2013
                                        ","
                                                1096
                                            "
"
1840                                        ","
                                            13:31.70
                                        ","
        ","
                                            03 JAN 1999
                                        ","
                                            ","
                                            20f4
                                        ","
                                            Nobeoka (JPN)
                                        ","
                                            04 MAY 2019
                                        ","
                                                1096
                                            "
"
1840                                        ","
                                            13:31.70
                                        ","
        ","
                                            12 JAN 1998
                                        ","
                                            ","
                                            12f1
                                        ","
                                            Stadion De Veen, Heusden-Zolder (BEL)
                                        ","
                                            02 JUL 2022
                                        ","
                                                1096
                                            "
"
1843                                        ","
                                            13:31.71
                                        ","
        ","
                                            11 SEP 1997
                                        ","
                                            ","
                                            7
                                        ","
                                            Castellón (ESP)
                                        ","
                                            16 JUN 2022
                                        ","
                                                1096
                                            "
"
1844                                        ","
                                            13:31.72
                                        ","
        ","
                                            07 AUG 1990
                                        ","
                                            ","
                                            1f1
                                        ","
                                            Carquefou (FRA)
                                        ","
                                            19 JUN 2009
                                        ","
                                                1096
                                            "
"
1845                                        ","
                                            13:31.73
                                        ","
        ","
                                            01 NOV 1996
                                        ","
                                            ","
                                            3f1
                                        ","
                                            Nagaragawa Stadium, Gifu (JPN)
                                        ","
                                            16 MAY 2021
                                        ","
                                                1096
                                            "
"
1846                                        ","
                                            13:31.74
                                        ","
        ","
                                            25 MAR 1968
                                        ","
                                            ","
                                            5
                                        ","
                                            Stadio Adriatico, Pescara (ITA)
                                        ","
                                            19 JUL 1989
                                        ","
                                                1096
                                            "
"
1847                                        ","
                                            13:31.76
                                        ","
        ","
                                            23 AUG 1995
                                        ","
                                            ","
                                            5
                                        ","
                                            Turku (FIN)
                                        ","
                                            29 JUN 2016
                                        ","
                                                1096
                                            "
"
1848                                        ","
                                            13:31.79
                                        ","
        ","
                                            12 APR 1976
                                        ","
                                            ","
                                            2
                                        ","
                                            Stellenbosch (RSA)
                                        ","
                                            01 MAR 1996
                                        ","
                                                1096
                                            "
"
1848                                        ","
                                            13:31.79
                                        ","
        ","
                                            29 AUG 1975
                                        ","
                                            ","
                                            13
                                        ","
                                            Stockholm (SWE)
                                        ","
                                            16 JUL 2002
                                        ","
                                                1096
                                            "
"
1848                                        ","
                                            13:31.79
                                        ","
        ","
                                            20 SEP 1972
                                        ","
                                            ","
                                            29
                                        ","
                                            Heusden-Zolder (BEL)
                                        ","
                                            22 JUL 2006
                                        ","
                                                1096
                                            "
"
1848                                        ","
                                            13:31.79
                                        ","
        ","
                                            14 SEP 1993
                                        ","
                                            ","
                                            18f1
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            02 MAY 2019
                                        ","
                                                1096
                                            "
"
1852                                        ","
                                            13:31.8h
                                        ","
        ","
                                            23 OCT 1951
                                        ","
                                            ","
                                            1
                                        ","
                                            Stellenbosch (RSA)
                                        ","
                                            21 FEB 1977
                                        ","
                                                1096
                                            "
"
1853                                        ","
                                            13:31.80
                                        ","
        ","
                                            22 DEC 1962
                                        ","
                                            ","
                                            5
                                        ","
                                            Arnsberg (GER)
                                        ","
                                            09 JUN 1993
                                        ","
                                                1096
                                            "
"
1854                                        ","
                                            13:31.81
                                        ","
        ","
                                            15 SEP 1992
                                        ","
                                            ","
                                            2f27
                                        ","
                                            Yokohama (JPN)
                                        ","
                                            14 APR 2013
                                        ","
                                                1096
                                            "
"
1855                                        ","
                                            13:31.83
                                        ","
        ","
                                            22 APR 1986
                                        ","
                                            ","
                                            2f1
                                        ","
                                            Carquefou (FRA)
                                        ","
                                            19 JUN 2009
                                        ","
                                                1096
                                            "
"
1856                                        ","
                                            13:31.85
                                        ","
        ","
                                            04 NOV 1996
                                        ","
                                            ","
                                            17
                                        ","
                                            Drake Stadium, Los Angeles, CA (USA)
                                        ","
                                            26 MAY 2023
                                        ","
                                                1096
                                            "
"
1857                                        ","
                                            13:31.87
                                        ","
        ","
                                            12 NOV 1960
                                        ","
                                            ","
                                            8
                                        ","
                                            Paris-St-Denis (FRA)
                                        ","
                                            11 JUN 1987
                                        ","
                                                1096
                                            "
"
1857                                        ","
                                            13:31.87
                                        ","
        ","
                                            18 NOV 1985
                                        ","
                                            ","
                                            13
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            15 APR 2010
                                        ","
                                                1096
                                            "
"
1857                                        ","
                                            13:31.87
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            7f3
                                        ","
                                            Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)
                                        ","
                                            02 DEC 2023
                                        ","
                                                1144
                                            "
"
1860                                        ","
                                            13:31.88
                                        ","
        ","
                                            08 FEB 1990
                                        ","
                                            ","
                                            8
                                        ","
                                            Los Angeles, CA (USA)
                                        ","
                                            17 MAY 2013
                                        ","
                                                1096
                                            "
"
1860                                        ","
                                            13:31.88
                                        ","
        ","
                                            01 DEC 1996
                                        ","
                                            ","
                                            6
                                        ","
                                            Mestský Stadion, Ostrava (CZE)
                                        ","
                                            26 MAY 2015
                                        ","
                                                1096
                                            "
"
1862                                        ","
                                            13:31.9h
                                        ","
        ","
                                            26 NOV 1944
                                        ","
                                            ","
                                            8
                                        ","
                                            Bruxelles (BEL)
                                        ","
                                            18 AUG 1978
                                        ","
                                                1095
                                            "
"
1863                                        ","
                                            13:31.90
                                        ","
        ","
                                            19 JUL 1993
                                        ","
                                            ","
                                            2
                                        ","
                                            LAZ Wien, Wien (AUT)
                                        ","
                                            15 MAY 2021
                                        ","
                                                1095
                                            "
"
1864                                        ","
                                            13:31.91
                                        ","
        ","
                                            02 JAN 1998
                                        ","
                                            ","
                                            8
                                        ","
                                            Durban (RSA)
                                        ","
                                            26 JUN 2016
                                        ","
                                                1095
                                            "
"
1865                                        ","
                                            13:31.92
                                        ","
        ","
                                            16 AUG 1958
                                        ","
                                            ","
                                            8h2
                                        ","
                                            Neckarstadion, Stuttgart (GER)
                                        ","
                                            28 AUG 1986
                                        ","
                                                1095
                                            "
